t,modulus(L_avg)
0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000021e-02,9.326114061916218612e-01
2.000000000000000042e-02,8.500547733820303931e-01
2.999999999999999889e-02,8.295424142414048463e-01
4.000000000000000083e-02,8.004281592383556410e-01
5.000000000000000278e-02,6.926526135588570998e-01
6.000000000000000472e-02,6.048355894498956831e-01
6.999999999999999278e-02,5.805031831782303531e-01
8.000000000000000167e-02,5.630857005084113354e-01
8.999999999999999667e-02,4.962333607473535246e-01
9.999999999999999167e-02,4.756763708667059998e-01
1.100000000000000006e-01,4.396502170778831542e-01
1.199999999999999956e-01,3.987684733405607584e-01
1.300000000000000044e-01,3.857944077164399133e-01
1.400000000000000133e-01,3.864122553158784168e-01
1.500000000000000222e-01,3.438032254731638870e-01
1.600000000000000033e-01,3.420806354864068810e-01
1.700000000000000122e-01,3.290724256349894516e-01
1.800000000000000211e-01,3.143815904576471865e-01
1.900000000000000022e-01,2.719448785735829599e-01
2.000000000000000111e-01,2.245015301212011372e-01
2.100000000000000200e-01,1.957337644986872904e-01
2.200000000000000011e-01,2.040582760038783805e-01
2.300000000000000100e-01,1.828963332687170706e-01
2.400000000000000189e-01,1.743678389825231156e-01
2.500000000000000000e-01,1.759876622725903006e-01
2.600000000000000089e-01,1.825933701378484597e-01
2.700000000000000178e-01,1.571452519224364741e-01
2.800000000000000266e-01,1.462270566794442173e-01
2.900000000000000355e-01,1.360310494838098405e-01
2.999999999999999889e-01,1.285514565498594997e-01
3.099999999999999978e-01,1.278430193242663659e-01
3.200000000000000067e-01,1.151208220811950067e-01
3.300000000000000155e-01,1.184541043176741970e-01
3.400000000000000244e-01,1.195850953513772075e-01
3.500000000000000333e-01,1.059545576433398861e-01
3.600000000000000422e-01,1.041263916302900550e-01
3.699999999999999956e-01,1.056796190068903935e-01
3.800000000000000044e-01,9.924805036349407250e-02
3.900000000000000133e-01,8.320662172442039317e-02
4.000000000000000222e-01,9.472780215076695431e-02
4.100000000000000311e-01,8.543358502684507416e-02
4.200000000000000400e-01,6.746959061489261889e-02
4.299999999999999933e-01,7.154745882635152321e-02
4.400000000000000022e-01,7.313673854215062275e-02
4.500000000000000111e-01,6.395365685251387655e-02
4.600000000000000200e-01,5.969289994925747883e-02
4.700000000000000289e-01,6.873742237523099152e-02
4.800000000000000377e-01,6.102469164734951323e-02
4.899999999999999911e-01,5.924645177614543817e-02
5.000000000000000000e-01,5.539983860592681553e-02
5.100000000000000089e-01,5.552494681344211785e-02
5.200000000000000178e-01,4.908389680422171192e-02
5.300000000000000266e-01,4.954285621784735444e-02
5.400000000000000355e-01,4.275327794918371005e-02
5.500000000000000444e-01,3.877886566741257923e-02
5.600000000000000533e-01,3.861344099536933444e-02
5.700000000000000622e-01,4.438314475753118299e-02
5.800000000000000711e-01,5.008196162790273798e-02
5.899999999999999689e-01,4.203050970516633567e-02
5.999999999999999778e-01,4.559029796235327531e-02
6.099999999999999867e-01,4.446911398962100082e-02
6.199999999999999956e-01,4.232107936855582231e-02
6.300000000000000044e-01,3.070547155180173779e-02
6.400000000000000133e-01,3.084933265477720829e-02
6.500000000000000222e-01,2.655951363984357730e-02
6.600000000000000311e-01,2.179894124520906362e-02
6.700000000000000400e-01,2.961665025733711820e-02
6.800000000000000488e-01,2.703871993553976644e-02
6.900000000000000577e-01,2.879449468206337140e-02
7.000000000000000666e-01,2.792804523092992652e-02
7.100000000000000755e-01,2.957285416479340373e-02
7.199999999999999734e-01,2.862961111628734359e-02
7.299999999999999822e-01,2.374308815811307025e-02
7.399999999999999911e-01,2.462291125741000036e-02
7.500000000000000000e-01,3.013632949445802997e-02
7.600000000000000089e-01,3.155141452263005714e-02
7.700000000000000178e-01,2.842622245955006566e-02
7.800000000000000266e-01,2.132292732104249661e-02
7.900000000000000355e-01,2.284485685853118037e-02
8.000000000000000444e-01,2.499764300536567660e-02
8.100000000000000533e-01,2.124205010800459328e-02
8.200000000000000622e-01,1.606528133231338584e-02
8.300000000000000711e-01,1.255010242039914653e-02
8.400000000000000799e-01,1.244924358170023358e-02
8.499999999999999778e-01,1.403321182231693880e-02
8.599999999999999867e-01,1.123387502557647577e-02
8.699999999999999956e-01,1.304776406980460123e-02
8.800000000000000044e-01,1.356993552889369271e-02
8.900000000000000133e-01,9.562626363583473510e-03
9.000000000000000222e-01,1.152940611069749009e-02
9.100000000000000311e-01,1.602804722361735740e-02
9.200000000000000400e-01,1.790257253671526799e-02
9.300000000000000488e-01,1.986465184192392347e-02
9.400000000000000577e-01,2.389115895211921942e-02
9.500000000000000666e-01,2.521312026239891022e-02
9.600000000000000755e-01,2.569878531074038311e-02
9.699999999999999734e-01,2.414171293800498191e-02
9.799999999999999822e-01,1.999231770341965489e-02
9.899999999999999911e-01,1.528891571934083010e-02
1.000000000000000000e+00,1.154998171705017007e-02
