t,L_avg
0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-02,-2.035473987457525960e-02
2.000000000000000042e-02,5.561807698072329664e-02
2.999999999999999889e-02,4.159734899732640823e-02
4.000000000000000083e-02,4.470397060070990108e-02
5.000000000000000278e-02,3.405140520330254827e-02
6.000000000000000472e-02,-4.134872228660212146e-02
6.999999999999999278e-02,-3.802464528358922430e-02
8.000000000000000167e-02,-6.246672577608688298e-02
8.999999999999999667e-02,-7.792696084034651804e-02
9.999999999999999167e-02,-9.865204357820479830e-02
1.100000000000000006e-01,-6.842998213844587313e-03
1.199999999999999956e-01,2.024303176588676881e-02
1.300000000000000044e-01,5.835768913210240272e-02
1.400000000000000133e-01,1.395765322540095943e-01
1.500000000000000222e-01,8.450802338598299712e-02
1.600000000000000033e-01,2.240035778252511267e-01
1.700000000000000122e-01,1.540289804609807911e-01
1.800000000000000211e-01,1.288243715654468213e-01
1.900000000000000022e-01,1.145852969494495360e-01
2.000000000000000111e-01,2.336049126443482671e-01
2.100000000000000200e-01,2.082506903250034569e-01
2.200000000000000011e-01,1.574735529416598223e-01
2.300000000000000100e-01,2.434423785244652361e-01
2.400000000000000189e-01,2.045290069816744494e-01
2.500000000000000000e-01,2.780295950995689269e-01
2.600000000000000089e-01,2.438171157477350970e-01
2.700000000000000178e-01,1.818261562854716074e-01
2.800000000000000266e-01,2.209226962413007311e-01
2.900000000000000355e-01,2.939399993642199949e-01
2.999999999999999889e-01,3.243147693617211558e-01
3.099999999999999978e-01,2.096828965302768577e-01
3.200000000000000067e-01,2.478349716790511081e-01
3.300000000000000155e-01,2.355018372440192964e-01
3.400000000000000244e-01,1.699795967852713585e-01
3.500000000000000333e-01,2.501407589174030610e-01
3.600000000000000422e-01,3.647742253368150833e-01
3.699999999999999956e-01,4.204486889143940198e-01
3.800000000000000044e-01,3.001265694064399470e-01
3.900000000000000133e-01,3.547376067380811349e-01
4.000000000000000222e-01,2.750746158888264237e-01
4.100000000000000311e-01,3.345539144570942591e-01
4.200000000000000400e-01,4.112266388445521281e-01
4.299999999999999933e-01,2.966376859951341816e-01
4.400000000000000022e-01,2.708655959615059450e-01
4.500000000000000111e-01,1.792785329378573655e-01
4.600000000000000200e-01,2.241851439605818674e-01
4.700000000000000289e-01,2.660701255885636329e-01
4.800000000000000377e-01,2.010670661293540717e-01
4.899999999999999911e-01,1.541608009161119230e-01
5.000000000000000000e-01,1.818766104644641834e-01
5.100000000000000089e-01,1.479791333125127228e-01
5.200000000000000178e-01,5.718336842238622847e-02
5.300000000000000266e-01,1.572677514212910410e-01
5.400000000000000355e-01,2.308924856218003419e-01
5.500000000000000444e-01,1.535905889170510463e-01
5.600000000000000533e-01,1.502976483505894523e-01
5.700000000000000622e-01,2.061682558612403793e-01
5.800000000000000711e-01,1.323725767612339843e-01
5.899999999999999689e-01,4.616696121645826045e-02
5.999999999999999778e-01,8.369949226238464213e-02
6.099999999999999867e-01,2.126711861030327611e-01
6.199999999999999956e-01,2.219982518649635528e-01
6.300000000000000044e-01,3.982568550732905055e-01
6.400000000000000133e-01,4.464685632429552520e-01
6.500000000000000222e-01,2.525618762009448903e-01
6.600000000000000311e-01,1.092560872124781063e-01
6.700000000000000400e-01,3.005631063470446951e-01
6.800000000000000488e-01,4.873435754965393385e-01
6.900000000000000577e-01,7.097230056060657155e-01
7.000000000000000666e-01,4.339101798057544146e-01
7.100000000000000755e-01,-4.472316575806959543e-02
7.199999999999999734e-01,-1.477654735893313143e-01
7.299999999999999822e-01,-1.124587929889285520e-01
7.399999999999999911e-01,-2.783360364939648779e-01
7.500000000000000000e-01,-7.451433507403525114e-02
7.600000000000000089e-01,-7.469399786660597951e-02
7.700000000000000178e-01,-1.298760974174202332e-01
7.800000000000000266e-01,1.151445794721555754e-01
7.900000000000000355e-01,3.142006067190289964e-01
8.000000000000000444e-01,3.059822797910575695e-02
8.100000000000000533e-01,3.688066840349181752e-01
8.200000000000000622e-01,4.132772568611389752e-01
8.300000000000000711e-01,5.589028224549613677e-01
8.400000000000000799e-01,5.391037800080963338e-01
8.499999999999999778e-01,3.986127708690621607e-01
8.599999999999999867e-01,4.511099795946411639e-01
8.699999999999999956e-01,3.746825233637266495e-01
8.800000000000000044e-01,5.163799064594930543e-01
8.900000000000000133e-01,4.592619970280599206e-01
9.000000000000000222e-01,4.975812860677222838e-01
9.100000000000000311e-01,3.115311481986277053e-01
9.200000000000000400e-01,-6.162954941406892373e-02
9.300000000000000488e-01,-5.839529443053483732e-02
9.400000000000000577e-01,4.471258866394479947e-02
9.500000000000000666e-01,2.931770277664194624e-01
9.600000000000000755e-01,1.281723697324760602e-01
9.699999999999999734e-01,1.995875353121315254e-01
9.799999999999999822e-01,1.661989286448542769e-01
9.899999999999999911e-01,1.039699118527955685e-01
1.000000000000000000e+00,3.808290678962165943e-02
